"","STABBR","AWLEVEL","CIPCODE","totalawards","statetotals","comp_high_any","stem_high_any"
"462","AL",1,12.0503,0,3397,0,0
"463","AL",1,15,24,3397,NA,1
"464","AL",1,15.0201,1,3397,0,1
"465","AL",1,15.0303,4,3397,1,1
"466","AL",1,15.0501,40,3397,0,1
"467","AL",1,15.0503,0,3397,1,1
"468","AL",1,15.0506,4,3397,0,1
"469","AL",1,15.0507,0,3397,0,1
"470","AL",1,15.0612,1,3397,0,1
"471","AL",1,15.0613,3,3397,0,1
"472","AL",1,15.0701,5,3397,0,1
"473","AL",1,15.0799,0,3397,NA,0
"474","AL",1,15.0803,2,3397,0,1
"475","AL",1,15.0901,3,3397,0,1
"476","AL",1,15.1001,10,3397,0,1
"477","AL",1,15.1202,5,3397,1,1
"478","AL",1,15.1301,56,3397,0,1
"479","AL",1,19.0505,21,3397,0,0
"480","AL",1,19.0702,0,3397,NA,0
"481","AL",1,19.0708,113,3397,0,0
"482","AL",1,19.0902,14,3397,0,0
"483","AL",1,22.0302,7,3397,NA,0
"484","AL",1,22.0303,3,3397,0,0
"485","AL",1,30.1101,8,3397,0,1
"486","AL",1,31.0599,12,3397,NA,0
"487","AL",1,38.0299,0,3397,NA,0
"488","AL",1,41.0301,0,3397,0,1
"489","AL",1,41.9999,0,3397,0,0
"490","AL",1,43.0107,10,3397,0,0
"491","AL",1,43.0202,9,3397,0,0
"492","AL",1,43.0203,1,3397,0,1
"493","AL",1,45.0702,1,3397,0,0
"494","AL",1,46.0101,15,3397,0,0
"495","AL",1,46.0201,62,3397,0,0
"496","AL",1,46.0302,16,3397,0,0
"497","AL",1,46.0415,0,3397,0,1
"498","AL",1,46.0499,6,3397,NA,0
"499","AL",1,46.0503,29,3397,0,0
"500","AL",1,47.0101,0,3397,0,0
"501","AL",1,47.0105,39,3397,0,0
"502","AL",1,47.0201,32,3397,0,1
"503","AL",1,47.0303,45,3397,0,1
"504","AL",1,47.0402,0,3397,0,1
"505","AL",1,47.0403,0,3397,0,0
"506","AL",1,47.0408,3,3397,NA,1
"507","AL",1,47.0603,83,3397,0,0
"508","AL",1,47.0604,46,3397,NA,0
"509","AL",1,47.0605,50,3397,0,1
"510","AL",1,47.0606,27,3397,0,1
"511","AL",1,47.0607,187,3397,0,0
"512","AL",1,47.0609,0,3397,0,0
"513","AL",1,47.0616,0,3397,0,1
"514","AL",1,48.0303,18,3397,0,0
"515","AL",1,48.0304,0,3397,0,0
