"","STABBR","degType","year","statetotal","stem_high_any","totalawards","share"
"966","NE","Bachelor's",2013,15458,0,10756,0.695820934144132
"967","NE","Bachelor's",2014,15839,0,10774,0.680219710840331
"968","NE","Bachelor's",2014,15839,1,5065,0.319780289159669
"969","NE","Master's and Higher",2010,5897,1,2163,0.366796676276073
"970","NE","Master's and Higher",2010,5897,0,3734,0.633203323723927
"971","NE","Master's and Higher",2011,6162,0,3980,0.645894190197988
"972","NE","Master's and Higher",2011,6162,1,2182,0.354105809802012
"973","NE","Master's and Higher",2012,6723,1,2334,0.347166443551986
"974","NE","Master's and Higher",2012,6723,0,4389,0.652833556448014
"975","NE","Master's and Higher",2013,6656,1,2502,0.375901442307692
"976","NE","Master's and Higher",2013,6656,0,4154,0.624098557692308
"977","NE","Master's and Higher",2014,6529,1,2468,0.378005820186859
"978","NE","Master's and Higher",2014,6529,0,4061,0.621994179813141
"979","NH","Associate's and below",2010,4828,1,1176,0.243579121789561
"980","NH","Associate's and below",2010,4828,0,3652,0.756420878210439
"981","NH","Associate's and below",2011,5198,0,4047,0.778568680261639
"982","NH","Associate's and below",2011,5198,1,1151,0.221431319738361
"983","NH","Associate's and below",2012,5293,0,4084,0.77158511241262
"984","NH","Associate's and below",2012,5293,1,1209,0.22841488758738
"985","NH","Associate's and below",2013,4660,0,3564,0.76480686695279
"986","NH","Associate's and below",2013,4660,1,1096,0.23519313304721
"987","NH","Associate's and below",2014,4740,1,1229,0.259282700421941
"988","NH","Associate's and below",2014,4740,0,3511,0.740717299578059
"989","NH","Bachelor's",2010,10317,0,7847,0.760589318600368
"990","NH","Bachelor's",2010,10317,1,2470,0.239410681399632
"991","NH","Bachelor's",2011,10606,0,8015,0.75570431831039
"992","NH","Bachelor's",2011,10606,1,2591,0.24429568168961
"993","NH","Bachelor's",2012,10624,1,2786,0.262236445783133
"994","NH","Bachelor's",2012,10624,0,7838,0.737763554216867
"995","NH","Bachelor's",2013,11186,1,3025,0.270427319864116
"996","NH","Bachelor's",2013,11186,0,8161,0.729572680135884
"997","NH","Bachelor's",2014,11590,0,8301,0.716220880069025
"998","NH","Bachelor's",2014,11590,1,3289,0.283779119930975
"999","NH","Master's and Higher",2010,4225,0,3239,0.766627218934911
