"","CBSA","degType","year","Cbsatotal","comp_high_any","totalawards","share"
"222",10500,"Bachelor's",2013,526,1,16,0.0304182509505703
"223",10500,"Bachelor's",2014,523,0,442,0.845124282982792
"224",10500,"Bachelor's",2014,523,1,12,0.0229445506692161
"225",10500,"Master's and Higher",2010,154,0,134,0.87012987012987
"226",10500,"Master's and Higher",2011,147,0,126,0.857142857142857
"227",10500,"Master's and Higher",2012,185,0,176,0.951351351351351
"228",10500,"Master's and Higher",2013,153,0,150,0.980392156862745
"229",10500,"Master's and Higher",2014,123,0,112,0.910569105691057
"230",10540,"Associate's and below",2010,728,1,37,0.0508241758241758
"231",10540,"Associate's and below",2010,728,0,495,0.679945054945055
"232",10540,"Associate's and below",2011,915,0,561,0.613114754098361
"233",10540,"Associate's and below",2011,915,1,87,0.0950819672131148
"234",10540,"Associate's and below",2012,893,0,565,0.632698768197088
"235",10540,"Associate's and below",2012,893,1,45,0.0503919372900336
"236",10540,"Associate's and below",2013,1057,1,71,0.0671712393566698
"237",10540,"Associate's and below",2013,1057,0,634,0.599810785241249
"238",10540,"Associate's and below",2014,1051,0,606,0.576593720266413
"239",10540,"Associate's and below",2014,1051,1,72,0.0685061845861085
"240",10580,"Associate's and below",2010,8803,1,642,0.0729296830625923
"241",10580,"Associate's and below",2010,8803,0,6745,0.766216062705896
"242",10580,"Associate's and below",2011,8409,1,544,0.064692591271257
"243",10580,"Associate's and below",2011,8409,0,6433,0.765013675823522
"244",10580,"Associate's and below",2012,8412,0,6149,0.730979553019496
"245",10580,"Associate's and below",2012,8412,1,712,0.084640989063243
"246",10580,"Associate's and below",2013,7980,0,6064,0.759899749373434
"247",10580,"Associate's and below",2013,7980,1,618,0.0774436090225564
"248",10580,"Associate's and below",2014,7500,0,5693,0.759066666666667
"249",10580,"Associate's and below",2014,7500,1,579,0.0772
"250",10580,"Bachelor's",2010,12611,1,1176,0.093251922924431
"251",10580,"Bachelor's",2010,12611,0,8601,0.682023630164142
